,Link,Preco,Localizacao,Area_Util_m2,Quartos,Suites,Vagas_Garagem
365,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sudoeste-brasilia-df-sqsw-500-bloco-r-1211542,2700000.0,BRASÍLIA - SUDOESTE,139,3.0,2.0,3.0
366,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-park-sul-brasilia-df-sgcv-1216846,490000.0,BRASÍLIA - PARK SUL,34,1.0,,1.0
367,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-111-bloco-i-1200393,1930000.0,BRASÍLIA - ASA NORTE,139,3.0,1.0,1.0
368,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-115-1187032,2099000.0,BRASÍLIA - ASA NORTE,167,4.0,1.0,1.0
369,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sudoeste-brasilia-df-sqsw-304-1215226,1130000.0,BRASÍLIA - SUDOESTE,77,3.0,1.0,1.0
370,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-407-1214759,860000.0,BRASÍLIA - ASA NORTE,105,3.0,,
371,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-104-1213351,1520000.0,BRASÍLIA - ASA NORTE,125,3.0,1.0,
372,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-shcgn-707-bloco-c-997605,563000.0,BRASÍLIA - ASA NORTE,46,2.0,,
373,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-116-1199204,1500000.0,BRASÍLIA - ASA SUL,106,3.0,1.0,1.0
374,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-107-1137894,2290000.0,BRASÍLIA - NOROESTE,137,3.0,1.0,3.0
375,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-210-1211706,1730000.0,BRASÍLIA - ASA SUL,100,3.0,3.0,1.0
376,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-noroeste-brasilia-df-sqnw-309-bloco-b-1201354,3200000.0,BRASÍLIA - NOROESTE,225,3.0,1.0,3.0
377,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-park-sul-brasilia-df-sgcv-lote-27-1137896,1790000.0,BRASÍLIA - PARK SUL,117,4.0,3.0,2.0
378,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-noroeste-brasilia-df-sqnw-310-1209632,878000.0,BRASÍLIA - NOROESTE,66,1.0,,2.0
