localizacao,area_util,quartos,suites,qntd_vagas,preco
BRASÍLIA - ASA SUL,106,3.0,1.0,1.0,1750000.0
BRASÍLIA - NOROESTE,77,2.0,1.0,2.0,1299000.0
BRASÍLIA - ASA NORTE,133,4.0,1.0,1.0,1850000.0
BRASÍLIA - SUDOESTE,59,2.0,2.0,2.0,810000.0
BRASÍLIA - NOROESTE,194,4.0,4.0,3.0,3250000.0
BRASÍLIA - NOROESTE,270,4.0,4.0,4.0,3739000.0
BRASÍLIA - PARK SUL,126,3.0,3.0,3.0,1994869.0
BRASÍLIA - NOROESTE,172,4.0,3.0,3.0,2958945.0
BRASÍLIA - JARDINS MANGUEIRAL,50,2.0,1.0,1.0,290000.0
BRASÍLIA - ASA SUL,120,3.0,1.0,1.0,2030000.0
BRASÍLIA - SUDOESTE,145,3.0,1.0,1.0,1960000.0
BRASÍLIA - NOROESTE,104,3.0,3.0,3.0,2074718.0
BRASÍLIA - NOROESTE,52,2.0,3.0,1.0,750000.0
BRASÍLIA - ASA NORTE,137,3.0,1.0,1.0,1570000.0
BRASÍLIA - ASA SUL,55,1.0,1.0,1.0,1170000.0
BRASÍLIA - SUDOESTE,81,2.0,1.0,1.0,920000.0
BRASÍLIA - NOROESTE,334,4.0,4.0,3.0,4400000.0
BRASÍLIA - ASA SUL,154,4.0,1.0,1.0,1495000.0
BRASÍLIA - NOROESTE,112,3.0,1.0,2.0,2138184.0
BRASÍLIA - NOROESTE,34,1.0,3.0,1.0,455000.0
BRASÍLIA - NOROESTE,153,4.0,4.0,3.0,2775543.0
BRASÍLIA - NOROESTE,165,3.0,3.0,3.0,3250000.0
BRASÍLIA - NOROESTE,247,4.0,4.0,4.0,4450000.0
BRASÍLIA - ASA NORTE,31,1.0,1.0,1.0,580000.0
BRASÍLIA - NOROESTE,89,2.0,1.0,1.0,1380000.0
BRASÍLIA - ASA NORTE,80,2.0,1.0,1.0,1475000.0
BRASÍLIA - SUDOESTE,94,3.0,1.0,1.0,1299000.0
BRASÍLIA - NOROESTE,77,2.0,1.0,1.0,1547769.0
BRASÍLIA - ASA NORTE,111,1.0,1.0,1.0,1600000.0
BRASÍLIA - ASA NORTE,123,3.0,1.0,1.0,1450000.0
BRASÍLIA - NOROESTE,154,3.0,3.0,3.0,2680000.0
BRASÍLIA - NOROESTE,343,4.0,4.0,4.0,5172142.0
BRASÍLIA - PARK SUL,60,1.0,1.0,2.0,666270.0
BRASÍLIA - PARK SUL,30,1.0,2.0,1.0,410000.0
BRASÍLIA - ASA NORTE,78,3.0,1.0,1.0,830000.0
BRASÍLIA - NOROESTE,110,3.0,1.0,2.0,1886956.0
BRASÍLIA - NOROESTE,210,3.0,2.0,2.0,2690000.0
BRASÍLIA - NOROESTE,142,3.0,3.0,2.0,2550000.0
BRASÍLIA - ASA NORTE,30,1.0,1.0,1.0,280000.0
BRASÍLIA - NOROESTE,215,4.0,4.0,5.0,3383462.0
BRASÍLIA - ASA NORTE,31,1.0,1.0,1.0,559000.0
BRASÍLIA - ASA SUL,162,3.0,1.0,1.0,2499000.0
BRASÍLIA - NOROESTE,225,3.0,1.0,3.0,3200000.0
BRASÍLIA - ASA NORTE,101,3.0,1.0,1.0,1550000.0
BRASÍLIA - NOROESTE,462,4.0,4.0,4.0,8000000.0
BRASÍLIA - LAGO NORTE,58,2.0,1.0,1.0,590000.0
BRASÍLIA - NOROESTE,303,4.0,3.0,5.0,5700000.0
BRASÍLIA - ASA NORTE,45,2.0,1.0,1.0,635000.0
BRASÍLIA - NOROESTE,70,2.0,2.0,2.0,1290000.0
BRASÍLIA - NOROESTE,30,1.0,3.0,1.0,455000.0
BRASÍLIA - ASA NORTE,105,3.0,1.0,1.0,1590000.0
BRASÍLIA - NOROESTE,193,4.0,4.0,3.0,3490000.0
BRASÍLIA - ASA SUL,470,4.0,4.0,4.0,8800000.0
BRASÍLIA - ASA NORTE,80,2.0,1.0,1.0,1245000.0
BRASÍLIA - NOROESTE,74,2.0,1.0,2.0,1207611.0
BRASÍLIA - NOROESTE,232,4.0,4.0,4.0,4800000.0
BRASÍLIA - SUDOESTE,120,3.0,1.0,2.0,1790000.0
BRASÍLIA - ASA NORTE,128,4.0,2.0,2.0,1990000.0
BRASÍLIA - NOROESTE,119,3.0,1.0,2.0,2345127.0
BRASÍLIA - NOROESTE,108,3.0,1.0,2.0,1740000.0
BRASÍLIA - ASA NORTE,102,3.0,1.0,2.0,1720000.0
BRASÍLIA - ASA SUL,119,3.0,1.0,1.0,1750000.0
BRASÍLIA - NOROESTE,163,4.0,2.0,3.0,2495000.0
BRASÍLIA - ASA SUL,232,4.0,1.0,2.0,3100000.0
BRASÍLIA - NOROESTE,34,1.0,1.0,1.0,585936.0
BRASÍLIA - SUDOESTE,110,4.0,1.0,2.0,1550000.0
BRASÍLIA - ASA SUL,341,4.0,2.0,2.0,6000000.0
BRASÍLIA - ASA SUL,238,4.0,2.0,2.0,3100000.0
